
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.16.6.188:64854     117.66.42.43:443       CLOSE_WAIT      19692
  TCP    172.16.6.188:64857     180.184.93.15:443      ESTABLISHED     19692
  TCP    172.16.6.188:64879     115.190.45.115:443     CLOSE_WAIT      19392
  TCP    172.16.6.188:64895     115.190.210.86:443     CLOSE_WAIT      8952
  TCP    [::]:135               [::]:0                 LISTENING       8
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:5432              [::]:0                 LISTENING       5180
  TCP    [::]:5985              [::]:0                 LISTENING       4
  TCP    [::]:47001             [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       700
  TCP    [::]:49665             [::]:0                 LISTENING       1264
  TCP    [::]:49667             [::]:0                 LISTENING       1784
  TCP    [::]:49668             [::]:0                 LISTENING       2616
  TCP    [::]:49670             [::]:0                 LISTENING       3780
  TCP    [::]:49671             [::]:0                 LISTENING       2368
  TCP    [::]:49677             [::]:0                 LISTENING       864
  TCP    [::]:49680             [::]:0                 LISTENING       844
  TCP    [::]:59440             [::]:0                 LISTENING       3844
  TCP    [::]:63299             [::]:0                 LISTENING       1124
  TCP    [fd7a:115c:a1e0::fe01:a12d]:58104  [::]:0                 LISTENING       5636
  UDP    0.0.0.0:111            *:*                                    3120
  UDP    0.0.0.0:123            *:*                                    1248
  UDP    0.0.0.0:500            *:*                                    2356
  UDP    0.0.0.0:3702           *:*                                    6476
  UDP    0.0.0.0:3702           *:*                                    6476
  UDP    0.0.0.0:4500           *:*                                    2356
  UDP    0.0.0.0:5353           *:*                                    22148
  UDP    0.0.0.0:5353           *:*                                    23160
  UDP    0.0.0.0:5353           *:*                                    23160
  UDP    0.0.0.0:5353           *:*                                    23160
  UDP    0.0.0.0:5353           *:*                                    1596
  UDP    0.0.0.0:5353           *:*                                    22148
  UDP    0.0.0.0:5353           *:*                                    22148
  UDP    0.0.0.0:5353           *:*                                    17756
  UDP    0.0.0.0:5353           *:*                                    17756
  UDP    0.0.0.0:5353           *:*                                    17756
  UDP    0.0.0.0:5353           *:*                                    22148
  UDP    0.0.0.0:5353           *:*                                    17756
  UDP    0.0.0.0:5353           *:*                                    23160
  UDP    0.0.0.0:5355           *:*                                    1596
  UDP    0.0.0.0:41641          *:*                                    5636
  UDP    0.0.0.0:52203          *:*                                    6476
  UDP    0.0.0.0:55221          *:*                                    22148
  UDP    0.0.0.0:55222          *:*                                    22148
  UDP    0.0.0.0:57347          *:*                                    22148
  UDP    0.0.0.0:57348          *:*                                    22148
  UDP    0.0.0.0:63299          *:*                                    1124
  UDP    127.0.0.1:7890         *:*                                    24868
  UDP    127.0.0.1:58212        *:*                                    3528
  UDP    172.16.6.188:137       *:*                                    4
  UDP    172.16.6.188:138       *:*                                    4
  UDP    [::]:123               *:*                                    1248
  UDP    [::]:500               *:*                                    2356
  UDP    [::]:3702              *:*                                    6476
  UDP    [::]:3702              *:*                                    6476
  UDP    [::]:4500              *:*                                    2356
  UDP    [::]:5353              *:*                                    23160
  UDP    [::]:5353              *:*                                    17756
  UDP    [::]:5353              *:*                                    22148
  UDP    [::]:5353              *:*                                    23160
  UDP    [::]:5353              *:*                                    22148
  UDP    [::]:5353              *:*                                    1596
  UDP    [::]:5353              *:*                                    17756
  UDP    [::]:5355              *:*                                    1596
  UDP    [::]:41641             *:*                                    5636
  UDP    [::]:52204             *:*                                    6476
  UDP    [::]:55222             *:*                                    22148
  UDP    [::]:57348             *:*                                    22148
  UDP    [::]:63299             *:*                                    1124
